acccheck		|	apt-get install acccheck
Maskprocessor		|	apt-get install maskprocessor
Burp Suite		|	apt-get install burpsuite
Multiforcer		|	apt-get install multiforcer
CeWL			|	apt-get install cewl
Ncrack			|	apt-get install ncrack
Chntpw			|	apt-get install chntpw
Oclgausscrack		|	apt-get install oclgausscrack
Cisco Auditing Tool	|	apt-get install cisco-auditing-tool
PACK			|	apt-get install pack
CmosPwd			|	apt-get install cmospwd
Patator			|	apt-get install patator
Creddump		|	apt-get install creddump
Phrasendrescher		|	echo 'please visit : http://www.leidecker.info/projects/phrasendrescher/index.shtml'
Crunch			|	apt-get install crunch
Polenum			|	apt-get install polenum
DBPwAudit		|	apt-get install git && git clone git://git.kali.org/packages/dbpwaudit.git
RainbowCrack		|	apt-get install rainbowcrack
Findmyhash		|	apt-get install findmyhash
Rcracki-mt		|	apt-get install rcracki-mt
GPP-Decrypt		|	apt-get install gpp-decrypt
RSMangler		|	apt-get install rsmangler
Hash-Identifier		|	apt-get install hash-identifier
SQLdict			|	echo 'Sqldict is unavailable !! !!'
HexorBase		|	apt-get install hexorbase
Statsprocessor		|	apt-get install statsprocessor
THC-Hydra		|	echo 'please visit : https://www.thc.org/thc-hydra/'
THC-PPTP-Bruter		|	apt-get install thc-pptp-bruter
John the Ripper		|	apt-get install john
TrueCrack		|	apt-get install truecrack
Johnny			|	apt-get install johnny
WebScarab 		|	apt-get install webscarab
Keimpx			|	apt-get install keimpx
Wordlists 		|	apt-get install wordlists
Maltego Teeth		|	apt-get install maltego-teeth
zaproxy			|	apt-get install zaproxy
